"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 05 10:57:19 CST 2020","Thu Nov 05 10:57:19 CST 2020","31","testecase.case","test_test","Testtest","","","支付信息",""
"passed","Thu Nov 05 10:57:18 CST 2020","Thu Nov 05 10:57:19 CST 2020","602","testecase.case","test_test","Testtest","","","用户信息",""
