"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 05 11:54:54 CST 2020","Thu Nov 05 11:54:54 CST 2020","632","testecase.case","test_test","Testtest","","","用户信息",""
"broken","Thu Nov 05 11:54:54 CST 2020","Thu Nov 05 11:54:54 CST 2020","31","testecase.case","test_test","Testtest","","","支付信息",""
