"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 08 18:56:49 CST 2021","Fri Jan 08 18:56:50 CST 2021","661","父节点testcase/case","测试套test_test.py","子测试套:类Testtest","","","用户信息","用户信息"
"passed","Fri Jan 08 18:56:50 CST 2021","Fri Jan 08 18:56:50 CST 2021","283","父节点testcase/case","测试套test_test.py","子测试套:类Testtest","","","我的社群课程","我的社群课程"
