"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 08 17:59:58 CST 2021","Fri Jan 08 17:59:59 CST 2021","286","父节点testcase/case","测试套test_test.py","子测试套:类Testtest","","","我的社群课程","我的社群课程"
"passed","Fri Jan 08 17:59:58 CST 2021","Fri Jan 08 17:59:58 CST 2021","791","父节点testcase/case","测试套test_test.py","子测试套:类Testtest","","","用户信息","用户信息"
